fileNam	objNam	objNum	location	objLocRating_avg	objLocRating_SD	objRating_avg	objRating_SD
14_5.png	toy	14	5	36.125	35.7500874124805	13.5833333333333	50.341997046866
15_5.png	pile of books	15	5	36.875	29.7517856606961	3.91666666666667	41.1790804495033
16_5.png	umbrella	16	5	18.75	39.2845389434571	-5.375	74.6037448791949
17_5.png	hat	17	5	28.3333333333333	48.9784816696748	-27.7916666666667	53.3651142289292
18_5.png	helmet	18	5	30.9583333333333	34.1922566770119	-46.8333333333333	68.3042214410403
19_5.png	calendar	19	5	41.4583333333333	40.2987024191433	39.4583333333333	41.0759712808677
20_5.png	fan	20	5	66	29.7909382195325	39.0416666666667	28.0345397084858
1_6.png	microwave	1	6	-47.2083333333333	46.9756364157705	99.25	1.16189500386223
2_6.png	kitchen roll	2	6	-38	41.8189550323774	98.125	2.47361072119281
3_6.png	saucepan	3	6	-56.9583333333333	43.0930437155078	96.5833333333333	7.54431353183752
4_6.png	toaster	4	6	-74.75	21.6373519636761	99.1666666666667	1.43759057685652
5_6.png	fruit bowl	5	6	-58.2916666666667	34.0394685132813	90.4583333333333	13.5484470204768
6_6.png	tea pot	6	6	-58.7083333333333	48.7220218860698	97.0416666666667	3.86463667977556
7_6.png	knife	7	6	-67.2083333333333	31.2471665382106	99.2916666666667	1.12268279877562
8_6.png	mixer	8	6	-68.8333333333333	23.9612534452325	96.7083333333333	5.6400723990625
9_6.png	bread	9	6	-68.3333333333333	47.8109994317904	98.875	2.10802039838328
10_6.png	glass jug	10	6	-48.6666666666667	51.5523197020917	88.2916666666667	18.3850596046536
11_6.png	mug	11	6	-51.4583333333333	33.6390460130288	93.5416666666667	14.8487513504223
12_6.png	dishes	12	6	-53.75	34.8349680637144	95.2083333333333	11.0186395106958
13_6.png	towels	13	6	-43.4583333333333	41.1018298457218	18.4583333333333	75.6770137932693
14_6.png	toy	14	6	53.2083333333333	32.8338303684883	13.5833333333333	50.341997046866
